date,price,total_volume,market_cap,coin_name
2015-11-19 00:00:00.000,0.4174777051304817,25365.739054278463,4213441.331487771,monero
2015-11-20 00:00:00.000,0.3885219823058867,9349.585799922435,3925764.42304438,monero
2015-11-21 00:00:00.000,0.3909721647623671,29770.517492526546,3954898.4812619626,monero
2015-11-22 00:00:00.000,0.3918161641038818,8601.952782186516,3967526.559554266,monero
2015-11-23 00:00:00.000,0.3906998615614044,7844.093333885059,3960931.6059037033,monero
2015-11-24 00:00:00.000,0.3856394384793358,13084.6225243337,3913848.876535202,monero
2015-11-25 00:00:00.000,0.3883012581545651,18847.656524698155,3945248.34229889,monero
2015-11-26 00:00:00.000,0.4054499966366864,28956.7300112118,4123968.9578906,monero
2015-11-27 00:00:00.000,0.3852187321078052,30110.7602939186,3922534.039841919,monero
2015-11-28 00:00:00.000,0.3902489160549404,15695.310197946212,3978302.427222481,monero
2015-11-29 00:00:00.000,0.3985765652181048,13688.591293059171,4067634.4744065423,monero
2015-11-30 00:00:00.000,0.3958998412885497,29864.460524786467,4044576.12257843,monero
2015-12-01 00:00:00.000,0.3775984541284226,19351.645947338893,3861640.10741408,monero
2015-12-02 00:00:00.000,0.3705716037825672,15531.320858515362,3794119.970195645,monero
2015-12-03 00:00:00.000,0.3666575740087682,18630.355288044742,3757930.6745974105,monero
2015-12-04 00:00:00.000,0.3703379923477537,21673.349859436767,3799924.816054642,monero
2015-12-05 00:00:00.000,0.4402317505994781,57868.73268005266,4521931.994486664,monero
2015-12-06 00:00:00.000,0.4379594276605172,43285.96791550268,4503521.46605313,monero
2015-12-07 00:00:00.000,0.4227630523665176,28509.134134695247,4351848.8775267685,monero
2015-12-08 00:00:00.000,0.4373418480889171,40160.14963588239,4506874.657859048,monero
2015-12-09 00:00:00.000,0.4505077916046426,36748.266877022426,4647654.171425671,monero
2015-12-10 00:00:00.000,0.4376013791040658,22960.57953346936,4519000.479264291,monero
2015-12-11 00:00:00.000,0.4603748060444064,18776.48640214537,4759266.813299119,monero
2015-12-12 00:00:00.000,0.4546879377320162,16967.94419310863,4704583.796331072,monero
2015-12-13 00:00:00.000,0.4599877551047318,23997.528030099813,4765008.095264611,monero
2015-12-14 00:00:00.000,0.5406194478725023,103495.81710883856,5605487.891369294,monero
2015-12-15 00:00:00.000,0.5562633731775184,39051.07148322264,5774342.5652361885,monero
2015-12-16 00:00:00.000,0.5179505394661782,26580.849180643832,5382436.862173012,monero
2015-12-17 00:00:00.000,0.5022911973912427,19599.43814760125,5225043.997566611,monero
2015-12-18 00:00:00.000,0.5001230700044251,17439.741268640162,5208259.645611003,monero
2015-12-19 00:00:00.000,0.489556910543325,16348.329191858302,5103485.883568643,monero
2015-12-20 00:00:00.000,0.506563456306156,43653.12668367789,5286037.790083087,monero
2015-12-21 00:00:00.000,0.4868721992157399,54472.1101650896,5086047.622593528,monero
2015-12-22 00:00:00.000,0.4810544237050889,25492.051013142205,5030281.719874171,monero
2015-12-23 00:00:00.000,0.4803350226137093,34625.8397907789,5027788.206458417,monero
2015-12-24 00:00:00.000,0.4871944353500784,22923.675517630487,5104799.908265225,monero
2015-12-25 00:00:00.000,0.4897630300534042,10368.229757309957,5137421.218626369,monero
2015-12-26 00:00:00.000,0.4483950162817895,16505.75198458038,4708188.026510255,monero
2015-12-27 00:00:00.000,0.4500810191929295,16203.25648431425,4730734.080584003,monero
2015-12-28 00:00:00.000,0.4453085183108434,13901.77241648217,4685090.475839865,monero
2015-12-29 00:00:00.000,0.4568660313378423,14818.790770594009,4811654.563198144,monero
2015-12-30 00:00:00.000,0.4426919914192484,33366.07476258886,4667118.83374068,monero
2015-12-31 00:00:00.000,0.4653563311994692,28746.184983448195,4910749.468777047,monero
2016-01-01 00:00:00.000,0.512459528089374,89745.79277666195,5413476.403770641,monero
2016-01-02 00:00:00.000,0.5312562168166932,63617.540731861714,5617892.647426641,monero
2016-01-03 00:00:00.000,0.4981606969479804,41953.38652912729,5273047.416497372,monero
2016-01-04 00:00:00.000,0.5129572574596403,28260.107821271093,5435064.269276491,monero
2016-01-05 00:00:00.000,0.5142797561119435,28913.561141505532,5454575.549024252,monero
2016-01-06 00:00:00.000,0.5182081524870926,20518.37048151884,5501331.430332887,monero
2016-01-07 00:00:00.000,0.4892558657646556,46109.793085986166,5193972.072588858,monero
2016-01-08 00:00:00.000,0.5030141233735899,19962.489469541462,5350870.080996627,monero
2016-01-09 00:00:00.000,0.4923414657172571,29117.001382595983,5242661.664421749,monero
2016-01-10 00:00:00.000,0.4954555551534008,30828.201097219862,5281246.558213281,monero
2016-01-11 00:00:00.000,0.49400518068579,22649.32617589855,5270588.697234039,monero
2016-01-12 00:00:00.000,0.4979973631029614,51786.15931368268,5318596.400021371,monero
2016-01-13 00:00:00.000,0.4803296306094988,41904.471780195694,5134816.935163881,monero
2016-01-14 00:00:00.000,0.4906196792556368,34552.72560269626,5250069.672648247,monero
2016-01-15 00:00:00.000,0.4287143139169092,43435.01923387208,4587981.404959493,monero
2016-01-16 00:00:00.000,0.4938021428016546,38706.36830942189,5294195.481795808,monero
2016-01-17 00:00:00.000,0.4385184009275245,55068.62899588487,4701482.508161859,monero
2016-01-18 00:00:00.000,0.4961458918401743,72397.58992385438,5329694.926304277,monero
2016-01-19 00:00:00.000,0.5380591629817213,91042.57612515708,5785509.129037433,monero
2016-01-20 00:00:00.000,0.5303847440298692,111937.73577113674,5708548.502690035,monero
2016-01-21 00:00:00.000,0.5469702317027534,66169.98674853555,5892398.724206495,monero
2016-01-22 00:00:00.000,0.5291482796921739,67446.5964629121,5706191.119868327,monero
2016-01-23 00:00:00.000,0.5357794137827236,65986.68008415906,5779045.344119765,monero
2016-01-24 00:00:00.000,0.6234992518450655,144016.44610967266,6736761.0233639935,monero
